Domain,Kingdom,Phylum,Class,Order,Family,Genus
Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
Bacteria,Pseudomonadati,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
Archaea,Methanobacteriati,Methanobacteriota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus
Archaea,Methanobacteriati,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma
Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus
Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Falseniella
Archaea,Methanobacteriati,Methanobacteriota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanotorris
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Rhodanobacteraceae,Luteibacter
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Rhodanobacteraceae,Dyella
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Rhodanobacteraceae,Dokdonella
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Rhodanobacteraceae,Frateuria
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Rhodanobacteraceae,Ahniella
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Rhodanobacteraceae,Pseudolysobacter
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Rhodanobacteraceae,Aerosticca
